feature,importance
char_son ,0.00029514846757474256
char_ollo,0.000294156770026212
char_car,0.00029415342442760977
char_ned ,0.00029385378583343246
char_ sta,0.0002932993286398974
char_ la,0.0002931513366457918
char__ù_,0.0002931496175973625
char_ #p,0.0002930939111526312
char_weet,0.00029275591928232627
was,0.00029258563239796005
char_sk,0.00029257466616501197
char_oy ,0.0002920941825181051
char_str,0.0002916754233140716
char_ast,0.00029113132425658087
char_ks,0.00029110818653434975
char_lar,0.0002909041133975309
char_tio,0.0002904433034560417
"char_ """,0.00028997455388487094
char_ fuc,0.00028982376892068015
char_ob,0.0002897166763779342
if,0.0002895668938843414
char_ can,0.00028934085394897763
char_ani,0.00028863860208597057
char_ sho,0.00028834820830400746
char_û,0.0002881596390674813
char_lf,0.00028801947734731216
char_kes ,0.0002880070150843995
char_ per,0.00028788720309935045
char_der,0.00028781535190242725
char_new,0.0002871899701693178
char_ste,0.000286317292392531
char_ine,0.0002860471899799954
char_fol,0.00028585828934455054
char_bout,0.00028557494003563535
char_ ra,0.0002854974348309539
char_ew ,0.0002853818198725482
char_row,0.00028512708128166725
char_ast ,0.00028502668132775096
char_know,0.00028373704328425465
char_ime ,0.0002835754754383977
char_oing,0.0002835378641304745
char_cu,0.0002833449082769132
char_ist,0.0002833027982965974
"char_t,",0.00028322030933775955
char_ us,0.0002828888326937834
char_bs,0.00028274343422925527
char_wha,0.00028234338077844806
char_og,0.0002818278568150907
char_ice ,0.0002814610888041809
char_nte,0.0002811212748270585
char_om ,0.0002808761511104191
char_ hom,0.0002806694657184902
char_les,0.00027926186059850885
char_eal,0.0002791245743853513
char_make,0.00027904998262283576
char_ore ,0.00027899238122391196
char_cut,0.00027889305875349263
char_hil,0.0002786490425144644
char_tc,0.00027789000014819833
char_by ,0.0002775653611688472
char_mm,0.0002773543396776728
char_othe,0.0002770185260019576
char_ali,0.00027699930075712986
